No.,Date,,,Time,Location,,,Magnitude,,Ref.
,Y,M,D,,Lat.,Long.,Dept,mb,Ms,
951,1962,9,1,150104,25.8,65.3,46,,,PDE
952,1962,9,1,1920,35.71,49.81,,6.9,7.2,AMB
953,1962,9,1,202737,35.3,49.6,33,,,PDE
954,1962,9,2,71203,35.7,49.4,,4.9,,MOF
955,1962,9,4,133014,35.59,49.74,43,,,ISS
956,1962,9,4,2259,39.85,43.95,,5.6,5.2,A88
957,1962,9,11,1747,40.5,44.6,,,4.7,MEA
958,1962,9,19,72843,30.14,50.4,62,,,ISS
959,1962,9,29,65356,28.2,57.4,50,5.5,,MOF
960,1962,9,29,192322,36,53.3,,,4.3,MEA
961,1962,10,1,1213,27.76,54,,5.8,5.5,AMB
962,1962,10,5,200227,35.1,58.72,33,5,,B77
963,1962,10,10,204337,27.9,54.9,47,,,PDE
964,1962,10,13,102338,35.75,50.07,35,5.5,,MOF
965,1962,10,16,724,35.2,58.4,12,,4.5,MEA
966,1962,10,16,115851,31.4,57.3,33,,,PDE
967,1962,10,25,214934,33.4,46,20,,,PDE
968,1962,11,3,1537,35.2,58.5,10,,4.4,MEA
969,1962,11,6,9,28.17,55.79,,5.6,5.4,AMB
970,1962,11,9,11105,33.53,47.16,56,,,ISS
971,1962,11,10,13202,27.9,55.5,33,,,PDE
972,1962,11,20,204546,27.9,54.9,34,,,PDE
973,1962,12,2,222128,35.7,50,,5,,MOF
974,1962,12,2,233623,35.5,50.1,33,,,PDE
975,1962,12,8,90254,36.6,54.8,33,,4.8,MEA
976,1962,12,26,232511,23.7,65.21,,,,ISS
977,1962,12,29,80426,23.57,65.26,37,,,ISS
978,1963,1,1,192736,35.4,58.9,33,,,PDE
979,1963,1,16,120218,41.3,42.4,7,,,PDE
980,1963,1,24,154213,28.2,57,33,,,PDE
981,1963,1,27,193510,41.08,49.84,55,5.5,,ULM
982,1963,1,31,170604,41,49.8,47,,,PDE
983,1963,2,4,51431,27.6,54.3,63,,,PDE
984,1963,2,4,71809,27.6,54.3,66,,,PDE
985,1963,2,8,60309,26.5,55.2,33,4.1,,PDE
986,1963,2,9,171913,39.7,42.6,53,,,PDE
987,1963,2,13,30638,27.7,55.4,33,3.9,,PDE
988,1963,2,18,140340,40.1,47.1,33,,,PDE
989,1963,3,1,32002,35.8,59.9,33,4.8,,PDE
990,1963,3,24,124400,34.5,48.02,10,5.3,5.8,SEL
991,1963,4,16,184707,35.9,44.3,60,5.2,,PDE
992,1963,4,23,63922,41.1,47.3,93,4.1,,PDE
993,1963,4,23,230219,39.3,55.2,30,,,PDE
994,1963,4,24,232220,28.2,55.9,66,,,PDE
995,1963,5,2,15825,28.5,54.9,46,5.9,,PDE
996,1963,5,3,104429,30.7,51.8,35,5.3,,PDE
997,1963,5,10,105734,40.9,47.8,150,5.5,,PDE
998,1963,5,28,103247,35.4,49.8,33,4.3,,PDE
999,1963,5,29,4743,28.1,52.4,7,6.2,,PDE
1000,1963,5,29,83503,27,59.4,52,5.2,,PDE
1001,1963,6,30,74107,33.2,49.2,38,5.1,,PDE
1002,1963,7,6,133404,28,57.6,80,,,PDE
1003,1963,7,8,85804,26.7,55.7,33,4.8,,PDE
1004,1963,7,13,82424,29.6,51,44,5,,PDE
1005,1963,7,14,74621,29.5,50.8,33,,,PDE
1006,1963,7,29,61027,28.18,55.72,51,,,ISS
1007,1963,8,10,42733,28.1,53.3,46,4.8,,PDE
1008,1963,8,11,84347,37.1,55.2,33,4.4,,PDE
1009,1963,8,12,71954,27.7,53.2,33,5,,PDE
1010,1963,8,12,182938,25.3,62.7,33,5.2,,PDE
1011,1963,8,17,215854,36.7,59.7,33,4.8,,PDE
1012,1963,9,18,154202,38.5,57.2,33,5.1,,PDE
1013,1963,9,22,104055,29.3,55.3,33,4.7,,PDE
1014,1963,9,23,183347,29.6,50.9,39,4.7,,PDE
1015,1963,9,27,170920,27.227,65.914,19,4.7,,PDE
1016,1963,10,9,43643,39.4,42.8,35,4.6,,PDE
1017,1963,10,16,190225,28.8,58,32,4.8,,PDE
1018,1963,10,31,95701,27.4,55.6,35,5.3,,PDE
1019,1963,11,18,14255,29.3,57,33,5,,PDE
1020,1963,12,4,23018,31.3,55.4,46,,,PDE
1021,1963,12,7,90641,30.9,51.3,64,,,PDE
1022,1963,12,8,110804,39.9,58.7,33,4.5,,PDE
1023,1963,12,21,45039,33.8,51.5,51,4.5,,PDE
1024,1963,12,31,151808,38.4,45.3,33,4.5,,PDE
